회사명,거래소코드,회계년도,판매비와관리비(영업비용)(*)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원)
(주)광명전기,017040,2009/12,4135022,4135022
(주)광명전기,017040,2010/12,4405587,4565484
(주)광명전기,017040,2011/12,4489788,4489788
(주)광명전기,017040,2012/12,5229217,5229217
(주)광명전기,017040,2013/12,5782227,5782227
(주)광명전기,017040,2014/12,5512307,5512307
(주)광명전기,017040,2015/12,5634873,5634873
(주)광명전기,017040,2016/12,5552391,5552391
(주)광명전기,017040,2017/12,5905693,5905693
(주)광명전기,017040,2018/12,6660054,6660054
(주)광명전기,017040,2019/12,6130677,6130677
(주)광명전기,017040,2020/12,6248569,6248569
(주)광주신세계,037710,1995/12,12873484,
(주)광주신세계,037710,1996/12,42835799,
(주)광주신세계,037710,1997/12,46426484,
(주)광주신세계,037710,1998/12,43764044,
(주)광주신세계,037710,1999/12,56065695,
(주)광주신세계,037710,2000/12,59426011,
(주)광주신세계,037710,2001/12,56041852,
(주)광주신세계,037710,2002/12,58561690,
(주)광주신세계,037710,2003/12,57019198,
(주)광주신세계,037710,2004/12,53095321,
(주)광주신세계,037710,2005/12,51791155,
(주)광주신세계,037710,2006/12,64557516,
(주)광주신세계,037710,2007/12,71422923,71422923
(주)광주신세계,037710,2008/12,75149188,75149188
(주)광주신세계,037710,2009/12,76499544,76499544
(주)광주신세계,037710,2010/12,82481392,78241305
(주)광주신세계,037710,2011/12,80476110,80476110
(주)광주신세계,037710,2012/12,78621303,78621303
(주)광주신세계,037710,2013/12,77608434,77608434
(주)광주신세계,037710,2014/12,81524193,81524193
(주)광주신세계,037710,2015/12,82606671,82606671
(주)광주신세계,037710,2016/12,85361942,85361942
(주)광주신세계,037710,2017/12,84738271,84738271
(주)광주신세계,037710,2018/12,67411400,67411400
