회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)경농,002100,2019/12,151342037,151342037
(주)경농,002100,2020/12,165655312,165655312
(주)경동나비엔,009450,1986/12,6529948,
(주)경동나비엔,009450,1987/12,10311302,
(주)경동나비엔,009450,1988/12,24782084,
(주)경동나비엔,009450,1989/12,46847101,
(주)경동나비엔,009450,1990/12,51184753,
(주)경동나비엔,009450,1991/12,59929484,
(주)경동나비엔,009450,1992/12,77153094,
(주)경동나비엔,009450,1993/12,92596656,
(주)경동나비엔,009450,1994/12,104545969,
(주)경동나비엔,009450,1995/12,110360875,
(주)경동나비엔,009450,1996/12,121921155,
(주)경동나비엔,009450,1997/12,136033055,
(주)경동나비엔,009450,1998/12,108573817,
(주)경동나비엔,009450,1999/12,128657153,
(주)경동나비엔,009450,2000/12,164245670,
(주)경동나비엔,009450,2001/12,179571704,
(주)경동나비엔,009450,2002/12,201823720,
(주)경동나비엔,009450,2003/12,190164154,
(주)경동나비엔,009450,2004/12,173127406,
(주)경동나비엔,009450,2005/12,171004148,
(주)경동나비엔,009450,2006/12,182131387,
(주)경동나비엔,009450,2007/12,176294384,176294384
(주)경동나비엔,009450,2008/12,204875901,204875901
(주)경동나비엔,009450,2009/12,233314593,233314593
(주)경동나비엔,009450,2010/12,278277379,278277379
(주)경동나비엔,009450,2011/12,318269213,318269213
(주)경동나비엔,009450,2012/12,341339118,341339118
(주)경동나비엔,009450,2013/12,371601179,371601179
(주)경동나비엔,009450,2014/12,382392117,382392117
(주)경동나비엔,009450,2015/12,448302084,448302084
(주)경동나비엔,009450,2016/12,506082201,506082201
(주)경동나비엔,009450,2017/12,569819524,569819524
(주)경동나비엔,009450,2018/12,618058456,618058456
(주)경동나비엔,009450,2019/12,655419303,655419303
(주)경동나비엔,009450,2020/12,746324940,746324940
(주)경동도시가스,267290,2017/12,870828897,870828897
(주)경동도시가스,267290,2018/12,1605687067,1605687067
(주)경동도시가스,267290,2019/12,1421866212,1421866212
(주)경동도시가스,267290,2020/12,1086023402,1086023402
(주)경동인베스트,012320,1984/12,13980744,
(주)경동인베스트,012320,1985/12,17725411,
(주)경동인베스트,012320,1986/12,20226094,
(주)경동인베스트,012320,1987/12,22618282,
(주)경동인베스트,012320,1988/12,23638180,
(주)경동인베스트,012320,1989/12,23532933,
(주)경동인베스트,012320,1990/12,24627783,
(주)경동인베스트,012320,1991/12,28044455,
(주)경동인베스트,012320,1992/12,30493112,
(주)경동인베스트,012320,1993/12,31884160,
(주)경동인베스트,012320,1994/12,36453817,
(주)경동인베스트,012320,1995/12,48444344,
(주)경동인베스트,012320,1996/12,69135679,
(주)경동인베스트,012320,1997/12,86259618,
(주)경동인베스트,012320,1998/12,124323899,
(주)경동인베스트,012320,1999/12,153504840,
(주)경동인베스트,012320,2000/12,232459868,
(주)경동인베스트,012320,2001/12,302638845,
(주)경동인베스트,012320,2002/12,320227743,
(주)경동인베스트,012320,2003/12,364165552,
(주)경동인베스트,012320,2004/12,371421230,
(주)경동인베스트,012320,2005/12,454461201,
(주)경동인베스트,012320,2006/12,554604258,
(주)경동인베스트,012320,2007/12,613592335,613592335
(주)경동인베스트,012320,2008/12,890353583,890353583
(주)경동인베스트,012320,2009/12,934033440,934033440
(주)경동인베스트,012320,2010/12,1284023918,1289139847
(주)경동인베스트,012320,2011/12,1806174764,1806174764
(주)경동인베스트,012320,2012/12,2403814656,2403814656
(주)경동인베스트,012320,2013/12,2664100017,2664100017
(주)경동인베스트,012320,2014/12,2399450987,2399450987
(주)경동인베스트,012320,2015/12,1352478311,1352478311
(주)경동인베스트,012320,2016/12,1021002691,1021002691
(주)경동인베스트,012320,2017/12,612436,612436
(주)경동인베스트,012320,2018/12,7460898,7460898
(주)경동인베스트,012320,2019/12,8641051,8641051
(주)경동인베스트,012320,2020/12,7700621,7700621
(주)경방,000050,1981/12,52868914,
(주)경방,000050,1982/12,58963762,
