회사명,거래소코드,회계년도,이연법인세부채(천원),이연법인세부채(IFRS)(천원)
(주)경방,000050,2012/12,0,86607625
(주)경방,000050,2013/12,0,90652345
(주)경방,000050,2014/12,0,92456969
(주)경방,000050,2015/12,0,92242080
(주)경방,000050,2016/12,0,101821937
(주)경방,000050,2017/12,0,99492647
(주)경방,000050,2018/12,0,95815799
(주)경방,000050,2019/12,0,97093483
(주)경방,000050,2020/12,0,56983315
(주)경보제약,214390,1999/12,0,
(주)경보제약,214390,2000/12,0,
(주)경보제약,214390,2001/12,0,
(주)경보제약,214390,2002/12,0,
(주)경보제약,214390,2003/12,0,
(주)경보제약,214390,2004/12,0,
(주)경보제약,214390,2005/12,19302,
(주)경보제약,214390,2006/12,2319,
(주)경보제약,214390,2007/12,4884,
(주)경보제약,214390,2008/12,0,
(주)경보제약,214390,2009/12,18686,
(주)경보제약,214390,2010/12,0,
(주)경보제약,214390,2011/12,0,
(주)경보제약,214390,2012/12,0,
(주)경보제약,214390,2013/12,0,0
(주)경보제약,214390,2014/12,0,0
(주)경보제약,214390,2015/12,0,0
(주)경보제약,214390,2016/12,0,0
(주)경보제약,214390,2017/12,0,0
(주)경보제약,214390,2018/12,0,0
(주)경보제약,214390,2019/12,0,0
(주)경보제약,214390,2020/12,0,0
(주)경인양행,012610,1985/12,,
(주)경인양행,012610,1986/12,,
(주)경인양행,012610,1987/12,0,
(주)경인양행,012610,1988/12,0,
(주)경인양행,012610,1989/12,0,
(주)경인양행,012610,1990/12,0,
(주)경인양행,012610,1991/12,0,
(주)경인양행,012610,1992/12,0,
(주)경인양행,012610,1993/12,0,
(주)경인양행,012610,1994/12,0,
(주)경인양행,012610,1995/12,0,
(주)경인양행,012610,1996/12,0,
(주)경인양행,012610,1997/12,0,
(주)경인양행,012610,1998/12,0,
(주)경인양행,012610,1999/12,0,
(주)경인양행,012610,2000/12,0,
(주)경인양행,012610,2001/12,0,
(주)경인양행,012610,2002/12,0,
(주)경인양행,012610,2003/12,0,
(주)경인양행,012610,2004/12,0,
(주)경인양행,012610,2005/12,349837,
(주)경인양행,012610,2006/12,0,
(주)경인양행,012610,2007/12,0,184670
(주)경인양행,012610,2008/12,0,2966390
(주)경인양행,012610,2009/12,0,14293274
(주)경인양행,012610,2010/12,0,8407548
(주)경인양행,012610,2011/12,0,8404943
(주)경인양행,012610,2012/12,0,8381775
(주)경인양행,012610,2013/12,0,7965831
(주)경인양행,012610,2014/12,0,6887737
(주)경인양행,012610,2015/12,0,6040819
(주)경인양행,012610,2016/12,0,5460769
(주)경인양행,012610,2017/12,0,4170122
(주)경인양행,012610,2018/12,0,2601511
(주)경인양행,012610,2019/12,0,1016152
(주)경인양행,012610,2020/12,0,502729
(주)광명전기,017040,1986/12,0,
(주)광명전기,017040,1987/12,0,
(주)광명전기,017040,1988/12,0,
(주)광명전기,017040,1989/12,0,
(주)광명전기,017040,1990/12,0,
(주)광명전기,017040,1991/12,0,
(주)광명전기,017040,1992/12,0,
(주)광명전기,017040,1993/12,0,
(주)광명전기,017040,1994/12,0,
(주)광명전기,017040,1995/12,0,
(주)광명전기,017040,1996/12,0,
(주)광명전기,017040,1997/12,0,
(주)광명전기,017040,1998/12,,
(주)광명전기,017040,1999/12,0,
(주)광명전기,017040,2000/12,0,
(주)광명전기,017040,2002/11,0,
(주)광명전기,017040,2003/11,0,
(주)광명전기,017040,2004/11,0,
(주)광명전기,017040,2005/12,0,
(주)광명전기,017040,2006/12,0,
(주)광명전기,017040,2007/12,0,0
(주)광명전기,017040,2008/12,0,0
(주)광명전기,017040,2009/12,0,0
(주)광명전기,017040,2010/12,0,0
(주)광명전기,017040,2011/12,0,0
(주)광명전기,017040,2012/12,0,0
(주)광명전기,017040,2013/12,0,0
(주)광명전기,017040,2014/12,0,0
(주)광명전기,017040,2015/12,0,0
(주)광명전기,017040,2016/12,0,1342597
(주)광명전기,017040,2017/12,0,1190972
(주)광명전기,017040,2018/12,0,318561
(주)광명전기,017040,2019/12,0,0
(주)광명전기,017040,2020/12,0,54512
(주)광주신세계,037710,1995/12,0,
(주)광주신세계,037710,1996/12,0,
(주)광주신세계,037710,1997/12,0,
(주)광주신세계,037710,1998/12,0,
(주)광주신세계,037710,1999/12,0,
(주)광주신세계,037710,2000/12,0,
(주)광주신세계,037710,2001/12,0,
(주)광주신세계,037710,2002/12,0,
(주)광주신세계,037710,2003/12,0,
(주)광주신세계,037710,2004/12,0,
(주)광주신세계,037710,2005/12,72977,
(주)광주신세계,037710,2006/12,0,
(주)광주신세계,037710,2007/12,66881,66881
(주)광주신세계,037710,2008/12,364426,364426
(주)광주신세계,037710,2009/12,495389,495389
(주)광주신세계,037710,2010/12,782617,0
(주)광주신세계,037710,2011/12,0,0
(주)광주신세계,037710,2012/12,0,108178
(주)광주신세계,037710,2013/12,0,0
(주)광주신세계,037710,2014/12,0,0
(주)광주신세계,037710,2015/12,0,0
(주)광주신세계,037710,2016/12,0,0
(주)광주신세계,037710,2017/12,0,0
(주)광주신세계,037710,2018/12,0,0
(주)광주신세계,037710,2019/12,0,0
(주)광주신세계,037710,2020/12,0,0
(주)국동,005320,1989/12,0,
(주)국동,005320,1990/12,0,
(주)국동,005320,1991/12,0,
(주)국동,005320,1992/12,0,
(주)국동,005320,1993/12,0,
(주)국동,005320,1994/12,0,
(주)국동,005320,1995/12,0,
(주)국동,005320,1996/12,0,
(주)국동,005320,1997/12,0,
(주)국동,005320,1998/12,0,
(주)국동,005320,1999/12,0,
(주)국동,005320,2000/12,0,
(주)국동,005320,2001/12,0,
(주)국동,005320,2002/12,0,
(주)국동,005320,2003/12,0,
(주)국동,005320,2004/12,0,
(주)국동,005320,2005/12,0,
(주)국동,005320,2006/12,0,
(주)국동,005320,2007/12,0,0
(주)국동,005320,2008/12,0,0
(주)국동,005320,2009/12,0,0
(주)국동,005320,2010/12,0,0
(주)국동,005320,2011/12,0,0
(주)국동,005320,2012/12,0,0
(주)국동,005320,2013/12,0,0
(주)국동,005320,2014/12,0,0
(주)국동,005320,2015/12,0,0
(주)국동,005320,2016/12,0,200007
(주)국동,005320,2017/12,0,0
(주)국동,005320,2018/12,0,0
(주)국동,005320,2019/12,0,0
(주)국동,005320,2020/12,0,0
(주)국보,001140,1985/12,0,
(주)국보,001140,1986/12,0,
(주)국보,001140,1987/12,0,
(주)국보,001140,1988/12,0,
(주)국보,001140,1989/12,0,
(주)국보,001140,1990/12,0,
(주)국보,001140,1991/12,0,
(주)국보,001140,1992/12,0,
(주)국보,001140,1993/12,0,
(주)국보,001140,1994/12,0,
(주)국보,001140,1995/12,0,
(주)국보,001140,1996/12,0,
(주)국보,001140,1997/12,0,
(주)국보,001140,1998/12,0,
(주)국보,001140,1999/12,0,
(주)국보,001140,2000/12,0,
(주)국보,001140,2001/12,0,
(주)국보,001140,2002/12,0,
(주)국보,001140,2003/12,0,
(주)국보,001140,2004/12,0,
(주)국보,001140,2005/12,0,
(주)국보,001140,2006/12,0,
(주)국보,001140,2007/12,0,0
(주)국보,001140,2008/12,0,0
(주)국보,001140,2009/12,0,16563
(주)국보,001140,2010/12,0,5759016
(주)국보,001140,2011/12,0,5705379
(주)국보,001140,2012/12,0,5701437
(주)국보,001140,2013/12,0,5616721
(주)국보,001140,2014/12,0,4932760
(주)국보,001140,2015/12,0,4972684
(주)국보,001140,2016/12,0,4972684
(주)국보,001140,2017/12,0,2625738
(주)국보,001140,2018/12,0,652375
(주)국보,001140,2019/12,0,0
(주)국보,001140,2020/12,0,0
(주)금비,008870,1985/09,0,
(주)금비,008870,1986/09,0,
(주)금비,008870,1987/09,0,
(주)금비,008870,1990/09,0,
(주)금비,008870,1991/09,0,
(주)금비,008870,1992/09,0,
(주)금비,008870,1993/09,0,
(주)금비,008870,1994/09,0,
(주)금비,008870,1995/09,0,
