종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"000270","기아","87000","700","0.81","86500","87900","85800","2939029","255870818700","35266611189000","405363347"
"024110","기업은행","10800","0","0.00","10850","11000","10800","2038292","22155011200","8038446339600","744300587"
"013700","까뮤이앤씨","2670","5","0.19","2670","2690","2630","549274","1462250965","120556587600","45152280"
"004540","깨끗한나라","6990","-130","-1.83","7300","7350","6890","1251910","8809021660","260312444070","37240693"
"004545","깨끗한나라우","38000","-950","-2.44","38950","38950","36350","9171","344806700","13914080000","366160"
"001260","남광토건","17900","250","1.42","17850","18000","17450","266516","4732439650","175937327900","9828901"
"008350","남선알미늄","3755","40","1.08","3740","3850","3725","2513632","9485999920","413722482950","110179090"
"008355","남선알미우","39850","-200","-0.50","40750","40750","39700","3171","126173750","12269416500","307890"
"004270","남성","3880","0","0.00","3900","3900","3855","311510","1206864830","140503180800","36212160"
"003920","남양유업","629000","-6000","-0.94","640000","651000","613000","17658","11008556000","452880000000","720000"
"003925","남양유업우","296000","1000","0.34","289000","296000","282000","3757","1075618500","49331952000","166662"
"025860","남해화학","10100","-150","-1.46","10250","10350","10000","519491","5257283900","501756314300","49678843"
"005720","넥센","5170","-30","-0.58","5190","5200","5140","51566","266602130","276822361090","53543977"
"005725","넥센우","3790","-15","-0.39","3810","3840","3620","17928","68302100","13646274000","3600600"
"002350","넥센타이어","8500","150","1.80","8400","8550","8400","149967","1268548680","830176954500","97667877"
"002355","넥센타이어1우B","3630","35","0.97","3630","3640","3615","33062","119979695","23595000000","6500000"
"003580","넥스트사이언스","14250","50","0.35","15050","15150","13600","3387080","48339870450","510767737500","35843350"
"251270","넷마블","138500","-1000","-0.72","138500","140000","138000","142784","19849534000","11904560027000","85953502"
"090350","노루페인트","14300","100","0.70","14500","14600","13750","737594","10438412350","286000000000","20000000"
"090355","노루페인트우","43900","0","0.00","41200","46550","41200","45651","1998115650","20331231400","463126"
"000320","노루홀딩스","15100","-50","-0.33","15250","15550","14750","131933","1992994050","200696380100","13291151"
"000325","노루홀딩스우","98800","0","0.00","93700","109500","93700","30925","3144702700","18302700000","185250"
"006280","녹십자","327500","2000","0.61","326500","332000","325500","80187","26316235000","3827341195000","11686538"
"005250","녹십자홀딩스","33950","650","1.95","33300","34350","33300","223551","7590469650","1596607729500","47028210"
"005257","녹십자홀딩스2우","87800","300","0.34","87500","89000","87500","746","65734200","74277922000","845990"
"004370","농심","301500","-3000","-0.99","305000","305500","301000","42864","12964840000","1833916563000","6082642"
"072710","농심홀딩스","82000","-900","-1.09","82900","83400","81800","12388","1020474900","380298780000","4637790"
"058730","다스코","5630","-50","-0.88","5700","5700","5600","92642","522120890","91769000000","16300000"
"023590","다우기술","27200","200","0.74","27050","27450","26850","115696","3153563300","1220371982400","44866617"
"019680","대교","4785","125","2.68","4675","4795","4675","669398","3184223635","405303137250","84702850"
"019685","대교우B","3305","15","0.46","3290","3320","3270","58452","192620845","64206201950","19426990"
"006370","대구백화점","13800","150","1.10","13400","13850","13400","42363","578341850","149338231800","10821611"
"008060","대덕","9330","-300","-3.12","9600","9850","9260","3249327","30829427340","316195099500","33890150"
"00806K","대덕1우","16850","-750","-4.26","17550","17800","16850","66520","1145816150","20428215450","1212357"
"353200","대덕전자","15450","250","1.64","15300","15750","15200","1413856","21952045000","763491491250","49416925"
"35320K","대덕전자1우","17650","-450","-2.49","18250","18900","17650","295745","5398934400","36985910350","2095519"
"000490","대동","12100","-50","-0.41","12250","12300","11900","418976","5080554850","287111341000","23728210"
"008110","대동전자","8530","-10","-0.12","8540","8570","8380","33727","285398020","89483512910","10490447"
"005750","대림B&Co","7530","80","1.07","7620","7750","7460","237000","1798001450","125541967200","16672240"
"006570","대림통상","4370","40","0.92","4285","4410","4285","113662","493472790","66533250000","15225000"
"001680","대상","28950","-250","-0.86","29300","29350","28750","277767","8056735800","1003060323750","34648025"
"001685","대상우","21800","-100","-0.46","21900","22050","21650","8388","182911050","29870861400","1370223"
"084690","대상홀딩스","11800","-300","-2.48","12100","12250","11700","340811","4039265050","427307948400","36212538"
"084695","대상홀딩스우","16050","-100","-0.62","16150","16200","15850","23336","373115750","14661386100","913482"
"128820","대성산업","5470","-130","-2.32","5610","5620","5390","564230","3097501100","247438064660","45235478"
"117580","대성에너지","6740","-140","-2.03","6860","6920","6670","330936","2243877340","185350000000","27500000"
"016710","대성홀딩스","35200","250","0.72","35100","35450","34850","52557","1836354450","566348956800","16089459"
"003540","대신증권","18650","150","0.81","18550","18950","18550","160033","3002273100","946923910000","50773400"
"003547","대신증권2우B","16400","50","0.31","16400","16500","16300","19176","315436800","164000000000","10000000"
"003545","대신증권우","16700","-50","-0.30","16750","16900","16550","147148","2465371900","434200000000","26000000"
"009190","대양금속","4850","-55","-1.12","4905","4955","4830","653917","3187638915","143394804150","29565939"
"014160","대영포장","2660","-30","-1.12","2690","2710","2650","805308","2150785970","288329500340","108394549"
"047040","대우건설","8920","50","0.56","8870","9430","8870","16657400","151333048700","3707353930960","415622638"
"009320","대우부품","2490","10","0.40","2480","2505","2440","200690","498006585","118639473750","47646375"
"042660","대우조선해양","37500","300","0.81","37200","37600","36200","624095","23003318150","4023400087500","107290669"
"003090","대웅","36850","150","0.41","36750","37400","36600","186476","6903889500","2142531963000","58141980"
"069620","대웅제약","158000","2000","1.28","157000","161000","157000","56852","9032796500","1830678850000","11586575"
"000430","대원강업","4430","-20","-0.45","4470","4505","4410","324911","1445088930","274660000000","62000000"
"006340","대원전선","2240","20","0.90","2250","2470","2215","56083649","129908986530","159078006080","71016967"
"006345","대원전선우","3560","50","1.42","3540","3615","3515","90639","321874050","9331472000","2621200"
"003220","대원제약","16350","300","1.87","16050","16500","16000","73581","1195406250","347025856050","21224823"
"024890","대원화성","3245","135","4.34","3175","3610","3145","35843142","122979514180","133853498240","41249152"
"002880","대유에이텍","1195","5","0.42","1195","1275","1190","3276779","4040092995","132610789540","110971372"
"000300","대유플러스","1220","85","7.49","1170","1380","1165","63781893","82092265595","146150464860","119795463"
"012800","대창","2485","-30","-1.19","2535","2545","2480","1733419","4332019700","226484140015","91140499"
"015230","대창단조","9050","-60","-0.66","9130","9160","9030","58070","527472440","129289340750","14286115"
"001070","대한방직","43600","50","0.11","43550","43700","43400","7477","324955500","231080000000","5300000"
"006650","대한유화","261000","1000","0.38","260000","262500","259000","64524","16802007500","1696500000000","6500000"
"001440","대한전선","2480","385","18.38","2165","2585","2120","279473548","672017258805","2124053062320","856473009"
"084010","대한제강","21200","-350","-1.62","21550","21550","20850","256408","5415386300","522510760800","24646734"
"001790","대한제당","3430","-20","-0.58","3470","3480","3410","445977","1533533745","307659269400","89696580"
